"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 19:11:16 GMT 2024","Tue Feb 06 19:11:17 GMT 2024","1084","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldNotBeEmpty","serchResultShouldNotBeEmpty(String) Возвращается не пустой список карточек на запрос Selenide",""
"passed","Tue Feb 06 19:09:40 GMT 2024","Tue Feb 06 19:09:40 GMT 2024","1","","allure.lesson.LabelsTest","","allure.lesson.LabelsTest","testStaticLabels","созданиу issue для авторизованного пользователя",""
"passed","Tue Feb 06 19:10:03 GMT 2024","Tue Feb 06 19:10:05 GMT 2024","1446","","files.lesson.SelenideFilesTest","","files.lesson.SelenideFilesTest","downloadFileTest","скачивание файла с ссылкой href",""
"passed","Tue Feb 06 19:10:52 GMT 2024","Tue Feb 06 19:10:54 GMT 2024","1774","","Параметризованный тест для домашнего задания","","junit.homework1.annotation.ShoppingCartWithValueSoursTest","buttonShouldHaveTextRemove","buttonShouldHaveTextRemove(String) Поиск товара Sauce Labs Bike Light",""
"passed","Tue Feb 06 19:11:27 GMT 2024","Tue Feb 06 19:11:31 GMT 2024","3646","","testgithubselenide.SelenideReposytorySearch","","testgithubselenide.SelenideReposytorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Tue Feb 06 19:09:50 GMT 2024","Tue Feb 06 19:09:50 GMT 2024","16","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","jsonParsingTest","jsonParsingTest()",""
"failed","Tue Feb 06 19:09:58 GMT 2024","Tue Feb 06 19:10:03 GMT 2024","5685","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","pdfParsingTest","pdfParsingTest()",""
"passed","Tue Feb 06 19:09:38 GMT 2024","Tue Feb 06 19:09:40 GMT 2024","1294","","allure.lesson.AttachmentTest","","allure.lesson.AttachmentTest","testAnnotatedAttachment","testAnnotatedAttachment()",""
"passed","Tue Feb 06 19:09:47 GMT 2024","Tue Feb 06 19:09:47 GMT 2024","59","","files.homework.ZipFileTest","","files.homework.ZipFileTest","zipParsingCsvTest","Чтение CSV из zip архива",""
"passed","Tue Feb 06 19:10:46 GMT 2024","Tue Feb 06 19:10:48 GMT 2024","1883","","Параметризованный тест c Enum Классом","","junit.homework1.annotation.ShoppingCartWithEnumTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(Products) [2] BIKE",""
"skipped","Tue Feb 06 19:10:55 GMT 2024","Tue Feb 06 19:10:55 GMT 2024","0","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","emailShouldBeSentAfterChangePatmentTest","емэйл должен быть отправлен  пользователю после изменения способа оплаты",""
"passed","Tue Feb 06 19:09:50 GMT 2024","Tue Feb 06 19:09:58 GMT 2024","7823","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","xlsParsingTest","xlsParsingTest()",""
"passed","Tue Feb 06 19:10:18 GMT 2024","Tue Feb 06 19:10:20 GMT 2024","2049","","hw.PracticeFormTest","","hw.PracticeFormTest","practiceFormTest","practiceFormTest()",""
"passed","Tue Feb 06 19:09:27 GMT 2024","Tue Feb 06 19:09:32 GMT 2024","5811","","Проверка корректности имени Issue","","allure.hw.IssueTest","testIssueSearch","Проверка корректности имени Issue на странице Issue с помощью чистого Selenide",""
"passed","Tue Feb 06 19:10:58 GMT 2024","Tue Feb 06 19:10:59 GMT 2024","191","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectText","selenideSiteShouldDisplayCorrectText(Languege) [1] RU",""
"passed","Tue Feb 06 19:11:17 GMT 2024","Tue Feb 06 19:11:19 GMT 2024","1334","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldNotBeEmpty","serchResultShouldNotBeEmpty(String) Возвращается не пустой список карточек на запрос JUnit 5",""
"passed","Tue Feb 06 19:09:47 GMT 2024","Tue Feb 06 19:09:48 GMT 2024","352","","files.homework.ZipFileTest","","files.homework.ZipFileTest","zipParsingXlsxTest","Чтение XLS из zip архива",""
"passed","Tue Feb 06 19:10:55 GMT 2024","Tue Feb 06 19:10:58 GMT 2024","2674","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectButtons","selenideSiteShouldDisplayCorrectButtons(Languege, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"broken","Tue Feb 06 19:11:15 GMT 2024","Tue Feb 06 19:11:16 GMT 2024","1486","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка {1} для поискового запроса Junit 5, https://junit.org/junit5/docs/current/user-guide/",""
"passed","Tue Feb 06 19:10:08 GMT 2024","Tue Feb 06 19:10:11 GMT 2024","2889","","hw.BoxPageTest","","hw.BoxPageTest","boxPageTest","boxPageTest()",""
